"idpub","brdxdy","sexrsp","deatyr","POP57","PI5760","DGLEV","EDYRCM","YRER74","RU024REC","MZ023RER","GI503RE","gu024re","IZ023RER","HD201KD","hi503rea","HU024RE","jz023rer","q1i503rea","Q1U024RE","q1c003re","q1z023rer"
926512,1938,1,2016,5,36,-2,-2,136,0,1,-5,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
926513,1939,2,2022,9,-3,-2,-2,65,-2,2,-2,-2,2,4,-2,-2,3,NA,NA,NA,NA
926515,1939,1,-2,3,28,2,4,460,NA,NA,12,0,1,2,7,-2,2,NA,NA,NA,NA
926517,1940,2,-2,2,28,-2,0,0,0,4,10,0,4,2,7,-2,2,6,-2,1,0
926520,1939,2,1957,6,78,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926521,1938,1,-2,3,17,-2,-2,140,-2,2,-2,-2,2,6,-2,-2,1,NA,NA,NA,NA
926522,1938,1,2006,4,-3,-2,-2,90,-2,1,0,6,1,NA,NA,NA,NA,NA,NA,NA,NA
926524,1939,1,-2,8,160,3,6,150,0,6,8,1,4,0,8,-2,3,6,4,1,1
926530,1939,2,2019,9,50,-2,-2,37,0,1,5,0,3,4,5,-2,7,NA,NA,NA,NA
926557,1939,2,-2,5,13,2,4,0,0,3,7,1,12,3,5,-2,7,6,-2,1,0
926561,1939,2,-2,2,59,-2,-2,120,0,3,11,0,6,6,10,-2,1,4,-2,2,6
926564,1939,1,2020,4,61,-2,-2,91,-2,1,-2,-2,1,0,-2,-2,3,NA,NA,NA,NA
926568,1939,2,-2,9,62,-2,-2,0,-2,3,-2,-2,0,3,-2,-2,NA,NA,NA,NA,NA
926569,1939,1,-2,6,-3,-2,-2,130,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
926575,1939,1,-2,3,57,3,8,110,-2,4,-2,-2,10,2,-2,-2,10,NA,NA,NA,NA
926576,1939,2,-2,6,53,-2,-2,90,0,NA,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
926577,1939,2,-2,4,31,-2,-2,0,0,3,-3,0,NA,5,10,2,NA,6,4,1,0
926579,1939,2,-2,6,12,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926580,1938,2,-2,3,34,-2,-2,60,0,NA,-3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
926582,1939,1,2014,9,112,-2,-2,130,0,3,-5,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
926583,1939,1,2020,6,28,-2,2,170,-2,3,NA,NA,NA,4,-2,-2,NA,NA,NA,NA,NA
926589,1939,2,-2,6,52,-2,-2,3,0,NA,10,0,2,2,8,-2,2,12,-2,1,0
926590,1939,1,-2,4,32,-2,-2,138,4,2,6,0,0,3,7,-2,2,6,4,1,2
926596,1938,2,-2,9,35,-2,-2,0,0,4,10,0,6,7,9,-2,1,2,0,1,0
926598,1939,2,-2,3,74,-2,2,36,-2,4,-2,-2,7,3,-2,-2,4,NA,NA,NA,NA
926600,1939,2,-2,2,29,-2,-2,100,7,4,9,5,3,2,11,5,4,5,-2,1,3
926606,1939,2,-2,2,34,-2,-2,0,-2,9,-5,-5,2,4,5,-2,1,8,-2,1,0
926608,1939,2,2014,9,59,-2,-2,0,6,6,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
926609,1939,1,2009,2,30,-2,-2,130,0,4,11,0,5,NA,NA,NA,NA,NA,NA,NA,NA
926610,1939,1,2011,9,80,-2,-3,-3,0,4,-5,-5,4,NA,NA,NA,NA,NA,NA,NA,NA
926613,1939,2,1996,6,151,3,6,29,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926614,1939,1,1990,9,44,-2,-2,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926619,1939,1,2015,2,41,-2,-2,70,0,3,5,0,2,3,5,-2,2,NA,NA,NA,NA
926623,1940,2,2010,4,26,3,5,113,-2,2,-2,-2,2,NA,NA,NA,NA,NA,NA,NA,NA
926630,1939,2,-2,8,58,-2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926640,1939,1,1973,2,28,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926647,1939,2,1998,3,28,-2,-2,5,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926650,1939,2,2005,4,53,-2,-2,0,0,NA,8,0,2,NA,NA,NA,NA,NA,NA,NA,NA
926655,1939,2,-2,2,4,-2,-2,70,-2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926656,1939,2,2015,6,69,-2,-2,0,0,0,NA,NA,0,7,10,-2,-29,NA,NA,NA,NA
926657,1939,1,2001,2,52,-2,-2,170,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926661,1939,2,-2,4,68,-2,-2,10,0,6,8,0,3,4,6,-2,10,6,-2,1,5
